"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"237",NA,"Southampton, United Kingdom",67.59,32.4,51.09,55.69,69.59,98.44
"238",NA,"Leeds, United Kingdom",67.57,30.47,50.18,NA,75.71,88.49
"239",NA,"Treviso, Italy",NA,21.03,45.74,60.07,72.34,61.95
"240",NA,"Madison, WI, United States",NA,38.75,NA,NA,NA,132.13
"241",NA,"Birmingham, United Kingdom",67.25,NA,51.24,55.36,68.91,81.78
"242",NA,"Indianapolis, IN, United States",67.14,36.12,52.6,67.62,67.64,NA
"243",NA,NA,NA,27.03,NA,55.62,60.74,95.57
"244",NA,"Nuremberg, Germany",66.97,25.4,47.49,55.63,60.21,115.65
"245",NA,"Hamilton, Canada",66.95,35.98,52.43,NA,NA,86.35
"246",NA,"Coventry, United Kingdom",66.94,28.91,NA,58.06,63.75,NA
"247",NA,"Newcastle upon Tyne, United Kingdom",66.86,25.72,47.57,56.08,71.13,97.66
"248",NA,"Saint Louis, MO, United States",66.83,32.58,50.78,67.03,66.47,123.2
"249",NA,"Ulm, Germany",66.67,28.74,48.89,50.43,68.61,107.39
"250",NA,"Stoke-on-Trent, United Kingdom",66.58,NA,43.58,52.76,73.8,97.94
"251",NA,"Austin, TX, United States",NA,57.68,62.36,67.33,73.74,158.21
"252",NA,"Dundee, United Kingdom",66.46,23.27,46.22,56.19,NA,82.43
"253",NA,"Saarbrucken, Germany",66.3,NA,NA,50.44,73.24,85.4
"254",NA,"Kansas City, MO, United States",66.07,33.5,50.8,60.66,75.16,127.2
"255",NA,NA,66.06,18.51,43.77,58.2,67.44,57.68
"256",NA,NA,65.88,NA,48.03,51.61,66.17,103.03
"257",NA,"Sheffield, United Kingdom",65.88,26.92,47.62,57.43,NA,NA
"258",NA,"Taipei, Taiwan",65.8,24.64,46.5,80.24,34.24,59.33
"259",NA,"Belfast, United Kingdom",65.74,26.12,47.17,57.73,74.02,91.62
"260",NA,NA,65.69,37.25,52.36,69,60.43,91.7
"261",NA,"Darmstadt, Germany",65.48,27.73,47.78,52.99,60.54,108.54
"262",NA,"Limassol, Cyprus",65.26,29.86,48.66,53.36,NA,55.84
"263",NA,"Turin, Italy",65.19,22.02,NA,59.26,64.02,67.23
"264",NA,"St.Catharines, Canada",65.18,32.67,49.94,NA,56.27,71.18
